condition,group,root_id,cell_type,side,rate_hz
odor_b_dl2d_left,pam_nonzero,720575940637391582,PAM01,right,13.8
odor_b_dl2d_left,pam_nonzero,720575940638163940,PAM10,right,67.4
odor_b_dl2d_left,pam_nonzero,720575940639075150,PAM10,left,90.8
odor_b_dl2d_left,pam_nonzero,720575940639358579,PAM11,right,57.0
odor_b_dl2d_left,pam_nonzero,720575940639566406,PAM01,left,40.0
odor_b_dl2d_left,pam_nonzero,720575940641062901,PAM01,left,22.0
odor_b_dl2d_left,pam_nonzero,720575940642733216,PAM08,right,0.6
odor_b_dl2d_left,pam_nonzero,720575940643311501,PAM10,left,70.0
odor_b_dl2d_left,pam_nonzero,720575940643543200,PAM07,left,19.0
odor_b_dl2d_left,pam_nonzero,720575940643950190,PAM07,right,53.0
odor_b_dl2d_left,pam_nonzero,720575940644146724,PAM10,right,82.0
